Years,Value
2017.666667,66.27
2017.75,55.69
2017.833333,45.03
2017.916667,34.29
2018,32.16
2018.083333,35.51
2018.166667,42.73
2018.25,49.03
2018.333333,65.52
2018.416667,71.55
2018.5,75.45
2018.583333,73.51
2018.666667,67.53
2018.75,53.71
2018.833333,40.01
2018.916667,35.51
2019,32.56
2019.083333,31.84
2019.166667,40.28
2019.25,52.84
2019.333333,59.49
2019.416667,68.72
2019.5,74.62
2019.583333,73.74
2019.666667,68.43
2019.75,52.05
2019.833333,41.11
2019.916667,36.43
2020,35.55
2020.083333,36.18
2020.166667,46.08
2020.25,50.88
2020.333333,60.91
2020.416667,70.29
2020.5,75.65
2020.583333,74.71
2020.666667,65.91
2020.75,54.28
2020.833333,46.31
2020.916667,35.71
2021,34.59
2021.083333,30.61
2021.166667,45.52
2021.25,51.87
2021.333333,60.35
2021.416667,72.59
2021.5,75.42
2021.583333,73.98
2021.666667,67.8
2021.75,56.97
2021.833333,45.07
2021.916667,39.34
2022,31.17
2022.083333,33.67
2022.166667,44.08
2022.25,50.65
2022.333333,61.9
2022.416667,70.81
2022.5,76.41
2022.583333,74.57
2022.666667,68.02
2022.75,55.24
2022.833333,40.89
2022.916667,33.06
2023,35.15
2023.083333,36.46
2023.166667,40.64
2023.25,51.35
2023.333333,62.4
2023.416667,69.01
2023.5,75.67
2023.583333,74.37
2023.666667,67.77
